tensor([0.0008, 0.0456])
tensor([-0.0038,  0.0496])
tensor([-0.0034,  0.0599])
tensor([-0.0089,  0.0474])
tensor([0.0125, 0.0667])
tensor([0.0002, 0.0484])
tensor([0.0178, 0.0621])
tensor([0.0031, 0.0765])
tensor([0.0044, 0.0646])
tensor([0.0046, 0.0569])
tensor([0.0101, 0.0769])
tensor([-0.0016,  0.0729])
tensor([0.0031, 0.0661])
tensor([-0.0024,  0.0761])
tensor([0.0044, 0.0847])
tensor([0.0010, 0.0861])
tensor([0.1120, 0.0474])
tensor([ 0.1109, -0.0170])
tensor([ 0.1147, -0.1472])
tensor([ 0.1098, -0.1358])
tensor([ 0.1144, -0.1403])
tensor([ 0.1217, -0.1491])
tensor([ 0.1190, -0.1307])
tensor([ 0.1167, -0.1321])
tensor([ 0.1257, -0.1392])
tensor([ 0.1255, -0.1440])
tensor([ 0.1277, -0.1298])
tensor([ 0.1208, -0.1503])
tensor([ 0.1267, -0.1383])
tensor([ 0.1208, -0.1494])
tensor([ 0.1208, -0.1550])
tensor([ 0.1143, -0.1349])
tensor([ 0.1243, -0.1570])
tensor([ 0.1314, -0.1486])
tensor([ 0.1323, -0.1312])
tensor([ 0.1428, -0.1529])
tensor([ 0.1182, -0.1579])
tensor([ 0.1280, -0.1678])
tensor([ 0.1407, -0.1566])
tensor([ 0.1394, -0.1517])
tensor([ 0.1196, -0.1653])
tensor([ 0.1442, -0.1513])
tensor([ 0.1448, -0.1615])
tensor([ 0.1412, -0.1623])
tensor([ 0.1493, -0.1669])
tensor([ 0.1431, -0.1548])
tensor([ 0.1543, -0.1659])
tensor([ 0.1466, -0.1730])
tensor([ 0.1548, -0.1607])
tensor([ 0.1475, -0.1651])
tensor([ 0.1491, -0.1598])
tensor([ 0.1635, -0.1704])
tensor([ 0.1473, -0.1762])
tensor([ 0.1498, -0.1743])
tensor([ 0.1649, -0.1734])
tensor([ 0.1683, -0.1815])
tensor([ 0.1558, -0.1868])
tensor([ 0.1804, -0.1654])
tensor([ 0.1731, -0.1724])
tensor([ 0.1647, -0.1672])
tensor([ 0.1636, -0.1822])
tensor([ 0.1848, -0.1864])
tensor([ 0.1803, -0.1700])
tensor([ 0.1716, -0.1924])
tensor([ 0.1797, -0.1849])
tensor([ 0.1938, -0.1930])
tensor([ 0.1899, -0.1713])
tensor([ 0.1873, -0.1895])
tensor([ 0.2000, -0.1915])
tensor([ 0.2055, -0.1922])
tensor([ 0.2100, -0.1895])
tensor([ 0.1865, -0.1991])
tensor([ 0.1836, -0.2017])
tensor([ 0.2044, -0.1829])
tensor([ 0.2084, -0.1954])
tensor([ 0.2132, -0.2072])
tensor([ 0.1958, -0.2002])
tensor([ 0.2154, -0.2029])
tensor([ 0.2166, -0.2040])
tensor([ 0.2263, -0.2094])
tensor([ 0.2398, -0.2303])
tensor([ 0.2200, -0.2122])
tensor([ 0.2341, -0.2028])
tensor([ 0.2456, -0.2256])
tensor([ 0.2408, -0.2222])
tensor([ 0.2439, -0.2045])
tensor([ 0.2540, -0.2189])
tensor([ 0.2647, -0.2154])
tensor([ 0.2564, -0.2256])
tensor([ 0.2528, -0.2301])
tensor([ 0.2578, -0.2281])
tensor([ 0.2704, -0.2366])
tensor([ 0.2689, -0.2411])
tensor([ 0.2838, -0.2501])
tensor([ 0.2961, -0.2200])
tensor([ 0.2976, -0.2364])
tensor([ 0.2960, -0.2425])
tensor([ 0.2925, -0.2428])
tensor([ 0.2992, -0.2388])
tensor([ 0.3142, -0.2368])
tensor([ 0.3090, -0.2357])
tensor([ 0.3181, -0.2545])
tensor([ 0.3013, -0.2585])
tensor([ 0.3155, -0.2717])
tensor([ 0.3335, -0.2752])
tensor([ 0.3235, -0.2631])
tensor([ 0.3359, -0.2568])
tensor([ 0.3365, -0.2595])
tensor([ 0.3471, -0.2646])
tensor([ 0.3527, -0.2506])
tensor([ 0.3688, -0.2527])
tensor([ 0.3567, -0.2565])
tensor([ 0.3667, -0.2645])
tensor([ 0.3697, -0.2778])
tensor([ 0.3839, -0.2727])
tensor([ 0.4026, -0.2621])
tensor([ 0.3892, -0.2752])
tensor([ 0.3894, -0.2781])
tensor([ 0.4050, -0.2771])
tensor([ 0.4043, -0.2814])
tensor([ 0.4087, -0.2704])
tensor([ 0.4195, -0.2757])
tensor([-0.0010, -0.1755])
tensor([-0.0061, -0.1856])
tensor([ 0.0011, -0.1785])
tensor([-0.0046, -0.1617])
tensor([ 0.0032, -0.1810])
tensor([ 0.0116, -0.1675])
tensor([ 0.0037, -0.1741])
tensor([-0.0007, -0.1736])
tensor([ 0.0116, -0.1528])
tensor([ 0.0176, -0.1685])
tensor([ 0.0113, -0.1658])
tensor([ 0.0043, -0.1624])
tensor([ 0.0151, -0.1666])
tensor([ 0.0042, -0.1596])
tensor([ 0.0019, -0.1608])
tensor([ 0.0090, -0.1595])
tensor([ 0.0050, -0.1543])
tensor([ 0.0011, -0.1516])
tensor([ 0.0059, -0.1426])
tensor([-0.0005, -0.1460])
tensor([ 0.0049, -0.1435])
tensor([ 0.0040, -0.1611])
tensor([ 0.0004, -0.1454])
tensor([ 0.0012, -0.1549])
tensor([ 0.0068, -0.1520])
tensor([-0.0116, -0.1452])
tensor([-0.0004, -0.1504])
tensor([-0.0020, -0.1330])
tensor([ 0.0149, -0.1404])
tensor([ 0.0103, -0.1367])
tensor([ 0.0041, -0.1367])
tensor([ 0.0014, -0.1429])
tensor([-0.0025, -0.1287])
tensor([-0.0096, -0.1245])
tensor([ 4.0221e-05, -1.3290e-01])
tensor([-0.0040, -0.1154])
tensor([ 0.0128, -0.1392])
tensor([-0.0076, -0.1235])
tensor([-0.0007, -0.1317])
tensor([ 7.4293e-05, -1.4017e-01])
tensor([-0.0037, -0.1343])
tensor([ 0.0085, -0.1275])
tensor([-0.0108, -0.1279])
tensor([-0.0135, -0.1224])
tensor([ 0.0062, -0.1268])
tensor([-0.0002, -0.1261])
tensor([-0.0077, -0.1210])
tensor([ 0.0067, -0.1151])
tensor([-0.0172, -0.1057])
tensor([-0.0006, -0.1168])
tensor([-0.0045, -0.1010])
tensor([ 0.0004, -0.1029])
tensor([ 0.0015, -0.0953])
tensor([ 0.0033, -0.0921])
tensor([-0.0061, -0.0982])
tensor([-0.0025, -0.1077])
tensor([-0.0031, -0.0956])
tensor([ 0.0006, -0.0909])
tensor([-0.0213, -0.0826])
tensor([-0.0091, -0.0804])
tensor([-0.0170, -0.0789])
tensor([-0.0038, -0.0971])
tensor([ 0.0006, -0.0866])
tensor([-0.0036, -0.0671])
tensor([ 0.0039, -0.0887])
tensor([ 0.0028, -0.0851])
tensor([-0.0064, -0.0748])
tensor([-0.0063, -0.0865])
tensor([ 0.0041, -0.0689])
tensor([-0.0035, -0.0768])
tensor([-0.0041, -0.0581])
tensor([-0.0018, -0.0550])
tensor([-9.3213e-05, -5.9440e-02])
tensor([ 0.0120, -0.0637])
tensor([-0.0057, -0.0656])
tensor([ 0.0075, -0.0620])
tensor([ 0.0120, -0.0519])
tensor([-0.0016, -0.0514])
tensor([ 0.0023, -0.0443])
tensor([ 0.0041, -0.0542])
tensor([-0.0112, -0.0505])
tensor([-0.0039, -0.0434])
tensor([ 0.0056, -0.0407])
tensor([ 0.0041, -0.0409])
tensor([-0.0002, -0.0455])
tensor([ 0.0036, -0.0417])
tensor([-0.0119, -0.0484])
tensor([-0.0051, -0.0298])
tensor([ 0.0007, -0.0269])
tensor([ 0.0016, -0.0220])
tensor([ 0.0112, -0.0431])
tensor([ 0.0007, -0.0123])
tensor([ 0.0015, -0.0150])
tensor([-0.0109, -0.0156])
tensor([-9.4056e-05, -2.8575e-02])
tensor([-3.3544e-05, -1.1997e-02])
tensor([ 0.0008, -0.0167])
tensor([0.0048, 0.0095])
tensor([ 0.0933, -0.1508])
tensor([ 0.0998, -0.1465])
tensor([ 0.0938, -0.1400])
tensor([ 0.0998, -0.1485])
tensor([ 0.1045, -0.1405])
tensor([ 0.1000, -0.1552])
tensor([ 0.0963, -0.1458])
tensor([ 0.1066, -0.1184])
tensor([ 0.0936, -0.1170])
tensor([ 0.0931, -0.1186])
tensor([ 0.0954, -0.1227])
tensor([ 0.0942, -0.1354])
tensor([ 0.1009, -0.1113])
tensor([ 0.0967, -0.1338])
tensor([ 0.0940, -0.1166])
tensor([ 0.0957, -0.1265])
tensor([ 0.0902, -0.1102])
tensor([ 0.0860, -0.1124])
tensor([ 0.0918, -0.1098])
tensor([ 0.0940, -0.1092])
tensor([ 0.1109, -0.1176])
tensor([ 0.0932, -0.1141])
tensor([ 0.0857, -0.1094])
tensor([ 0.1011, -0.1027])
tensor([ 0.0913, -0.1027])
tensor([ 0.0959, -0.1088])
tensor([ 0.0801, -0.0835])
tensor([ 0.0881, -0.1044])
tensor([ 0.0831, -0.1093])
tensor([ 0.0826, -0.0920])
tensor([ 0.0863, -0.1217])
tensor([ 0.0917, -0.1065])
tensor([ 0.0878, -0.0865])
tensor([ 0.0910, -0.1042])
tensor([ 0.0926, -0.1000])
tensor([ 0.0815, -0.0977])
tensor([ 0.0796, -0.0943])
tensor([ 0.0831, -0.0884])
tensor([ 0.0956, -0.0857])
tensor([ 0.0739, -0.0881])
tensor([ 0.0780, -0.0994])
tensor([ 0.0824, -0.0819])
tensor([ 0.0747, -0.0985])
tensor([ 0.0707, -0.0737])
tensor([ 0.0703, -0.0658])
tensor([ 0.0734, -0.0862])
tensor([ 0.0877, -0.0736])
tensor([ 0.0822, -0.0815])
tensor([ 0.0764, -0.0801])
tensor([ 0.0801, -0.0657])
tensor([ 0.0776, -0.0906])
tensor([ 0.0705, -0.0762])
tensor([ 0.0754, -0.0940])
tensor([ 0.0619, -0.0663])
tensor([ 0.0683, -0.0730])
tensor([ 0.0592, -0.0679])
tensor([ 0.0706, -0.0746])
tensor([ 0.0606, -0.0710])
tensor([ 0.0566, -0.0655])
tensor([ 0.0680, -0.0809])
tensor([ 0.0590, -0.0716])
tensor([ 0.0627, -0.0547])
tensor([ 0.0597, -0.0662])
tensor([ 0.0553, -0.0575])
tensor([ 0.0579, -0.0652])
tensor([ 0.0689, -0.0661])
tensor([ 0.0637, -0.0646])
tensor([ 0.0662, -0.0640])
tensor([ 0.0505, -0.0598])
tensor([ 0.0540, -0.0655])
tensor([ 0.0590, -0.0560])
tensor([ 0.0498, -0.0431])
tensor([ 0.0522, -0.0455])
tensor([ 0.0436, -0.0675])
tensor([ 0.0379, -0.0638])
tensor([ 0.0539, -0.0438])
tensor([ 0.0485, -0.0543])
tensor([ 0.0443, -0.0418])
tensor([ 0.0442, -0.0412])
tensor([ 0.0347, -0.0468])
tensor([ 0.0379, -0.0363])
tensor([ 0.0397, -0.0421])
tensor([ 0.0360, -0.0362])
tensor([ 0.0518, -0.0400])
tensor([ 0.0339, -0.0298])
tensor([ 0.0577, -0.0283])
tensor([ 0.0409, -0.0156])
tensor([ 0.0421, -0.0135])
tensor([ 0.0416, -0.0322])
tensor([ 0.0476, -0.0251])
tensor([ 0.0357, -0.0113])
tensor([ 0.0490, -0.0093])
tensor([ 0.0484, -0.0117])
tensor([ 0.0437, -0.0042])
tensor([ 0.0457, -0.0104])
tensor([ 0.0388, -0.0160])
tensor([0.0403, 0.0106])
tensor([ 0.0399, -0.0094])
tensor([0.0458, 0.0052])
tensor([ 0.0517, -0.0073])
tensor([ 0.0443, -0.0131])
tensor([0.0416, 0.0057])
tensor([ 0.0457, -0.0029])
tensor([0.0425, 0.0158])
tensor([0.0496, 0.0003])
tensor([ 0.0530, -0.0052])
tensor([0.0550, 0.0136])
tensor([0.0489, 0.0098])
tensor([0.0581, 0.0279])
tensor([0.0504, 0.0186])
tensor([0.0628, 0.0225])
tensor([0.0607, 0.0234])
tensor([0.0492, 0.0254])
tensor([0.0600, 0.0245])
tensor([0.0594, 0.0304])
tensor([ 0.0579, -0.0697])
tensor([ 0.0301, -0.0852])
tensor([ 0.1664, -0.1839])
tensor([ 0.1839, -0.1621])
tensor([ 0.1851, -0.1703])
tensor([ 0.1835, -0.1708])
tensor([ 0.1734, -0.1727])
tensor([ 0.1935, -0.1711])
tensor([ 0.1823, -0.1746])
tensor([ 0.1843, -0.1739])
tensor([ 0.1728, -0.1726])
tensor([ 0.1806, -0.1751])
tensor([ 0.1880, -0.1765])
tensor([ 0.1815, -0.1772])
tensor([ 0.1771, -0.1709])
tensor([ 0.1890, -0.1859])
tensor([ 0.1845, -0.1729])
tensor([ 0.1839, -0.1748])
tensor([ 0.1878, -0.1574])
tensor([ 0.1851, -0.1790])
tensor([ 0.1720, -0.1796])
tensor([ 0.1775, -0.1779])
tensor([ 0.1792, -0.1755])
tensor([ 0.1778, -0.1739])
tensor([ 0.1800, -0.1631])
tensor([ 0.1777, -0.1599])
tensor([ 0.1783, -0.1892])
tensor([ 0.1899, -0.1775])
tensor([ 0.1798, -0.1695])
tensor([ 0.1826, -0.1626])
tensor([ 0.1842, -0.1921])
tensor([ 0.1916, -0.1840])
tensor([ 0.1885, -0.1631])
tensor([ 0.1949, -0.1688])
tensor([ 0.1861, -0.1712])
tensor([ 0.1719, -0.1594])
tensor([ 0.1817, -0.1678])
tensor([ 0.1803, -0.1621])
tensor([ 0.1844, -0.1601])
tensor([ 0.1840, -0.1673])
tensor([ 0.1861, -0.1739])
tensor([ 0.1892, -0.1693])
tensor([ 0.1825, -0.1696])
tensor([ 0.1894, -0.1664])
tensor([ 0.1850, -0.1766])
tensor([ 0.1859, -0.1833])
tensor([ 0.1860, -0.1667])
tensor([ 0.1986, -0.1741])
tensor([ 0.1866, -0.1618])
tensor([ 0.1835, -0.1637])
tensor([ 0.1921, -0.1629])
tensor([ 0.1952, -0.1711])
tensor([ 0.1880, -0.1597])
tensor([ 0.1850, -0.1735])
tensor([ 0.1790, -0.1642])
tensor([ 0.1944, -0.1606])
tensor([ 0.1921, -0.1708])
tensor([ 0.2066, -0.1742])
tensor([ 0.1891, -0.1559])
tensor([ 0.1939, -0.1633])
tensor([ 0.1984, -0.1608])
tensor([ 0.1991, -0.1678])
tensor([ 0.1936, -0.1609])
tensor([ 0.2025, -0.1642])
tensor([ 0.1939, -0.1727])
tensor([ 0.1917, -0.1684])
tensor([ 0.1963, -0.1633])
tensor([ 0.1976, -0.1683])
tensor([ 0.2011, -0.1702])
tensor([ 0.2117, -0.1777])
tensor([ 0.2051, -0.1641])
tensor([ 0.1818, -0.1781])
tensor([ 0.1914, -0.1799])
tensor([ 0.2204, -0.1719])
