tensor([ 0.1925, -0.1249])
tensor([ 0.2013, -0.1208])
tensor([ 0.1922, -0.1108])
tensor([ 0.2073, -0.1261])
tensor([ 0.2025, -0.1114])
tensor([ 0.2069, -0.1210])
tensor([ 0.2055, -0.1359])
tensor([ 0.2101, -0.1154])
tensor([ 0.2126, -0.1265])
tensor([ 0.1921, -0.1164])
tensor([ 0.2138, -0.1117])
tensor([ 0.2125, -0.1237])
tensor([ 0.2137, -0.1361])
tensor([ 0.2134, -0.1328])
tensor([ 0.2103, -0.1250])
tensor([ 0.2110, -0.1075])
tensor([ 0.2136, -0.1212])
tensor([ 0.2198, -0.1272])
tensor([ 0.2033, -0.1094])
tensor([ 0.2196, -0.1331])
tensor([ 0.2137, -0.1255])
tensor([ 0.2210, -0.1357])
tensor([ 0.2252, -0.1184])
tensor([ 0.2234, -0.1299])
tensor([ 0.2315, -0.1424])
tensor([ 0.2100, -0.1105])
tensor([ 0.2201, -0.1312])
tensor([ 0.2282, -0.1209])
tensor([ 0.2461, -0.1188])
tensor([ 0.2269, -0.1272])
tensor([ 0.2307, -0.1298])
tensor([ 0.2220, -0.1354])
tensor([ 0.2260, -0.1190])
tensor([ 0.2319, -0.1411])
tensor([ 0.2540, -0.1162])
tensor([ 0.2436, -0.1301])
tensor([ 0.2364, -0.1354])
tensor([ 0.2355, -0.1508])
tensor([ 0.2311, -0.1390])
tensor([ 0.2375, -0.1260])
tensor([ 0.2520, -0.1521])
tensor([ 0.2515, -0.1218])
tensor([ 0.2477, -0.1372])
tensor([ 0.2422, -0.1476])
tensor([ 0.2550, -0.1350])
tensor([ 0.2410, -0.1493])
tensor([ 0.2479, -0.1483])
tensor([ 0.2416, -0.1434])
tensor([ 0.2528, -0.1343])
tensor([ 0.2526, -0.1427])
tensor([ 0.2521, -0.1520])
tensor([ 0.2387, -0.1189])
tensor([ 0.2549, -0.1540])
tensor([ 0.2579, -0.1467])
tensor([ 0.2610, -0.1320])
tensor([ 0.2636, -0.1483])
tensor([ 0.2564, -0.1631])
tensor([ 0.2566, -0.1565])
tensor([ 0.2583, -0.1499])
tensor([ 0.2619, -0.1497])
tensor([ 0.2445, -0.1608])
tensor([ 0.2680, -0.1455])
tensor([ 0.2617, -0.1563])
tensor([ 0.2572, -0.1429])
tensor([ 0.2635, -0.1339])
tensor([ 0.2641, -0.1435])
tensor([ 0.2652, -0.1410])
tensor([ 0.2631, -0.1433])
tensor([ 0.2716, -0.1440])
tensor([ 0.2588, -0.1682])
tensor([ 0.2690, -0.1560])
tensor([ 0.2811, -0.1319])
tensor([ 0.2752, -0.1441])
tensor([ 0.2778, -0.1577])
tensor([ 0.2684, -0.1415])
tensor([ 0.2693, -0.1437])
tensor([ 0.2692, -0.1638])
tensor([ 0.2758, -0.1505])
tensor([ 0.2724, -0.1645])
tensor([ 0.2850, -0.1675])
tensor([ 0.2772, -0.1511])
tensor([ 0.2754, -0.1603])
tensor([ 0.2837, -0.1657])
tensor([ 0.2783, -0.1445])
tensor([ 0.2699, -0.1443])
tensor([ 0.2801, -0.1728])
tensor([ 0.2776, -0.1643])
tensor([ 0.2905, -0.1437])
tensor([ 0.2895, -0.1346])
tensor([ 0.2982, -0.1514])
tensor([ 0.2908, -0.1500])
tensor([ 0.2878, -0.1590])
tensor([ 0.2902, -0.1580])
tensor([ 0.2834, -0.1710])
tensor([ 0.2952, -0.1718])
tensor([ 0.2965, -0.1742])
tensor([ 0.2937, -0.1581])
tensor([ 0.2813, -0.1579])
tensor([ 0.2905, -0.1591])
tensor([ 0.3059, -0.1685])
tensor([ 0.3050, -0.1575])
tensor([ 0.0915, -0.0577])
tensor([ 0.0933, -0.0629])
tensor([ 0.0854, -0.0563])
tensor([ 0.0909, -0.0632])
tensor([ 0.0860, -0.0617])
tensor([ 0.0848, -0.0651])
tensor([ 0.0815, -0.0500])
tensor([ 0.0866, -0.0357])
tensor([ 0.0871, -0.0495])
tensor([ 0.0803, -0.0389])
tensor([ 0.0836, -0.0581])
tensor([ 0.0696, -0.0503])
tensor([ 0.0807, -0.0407])
tensor([ 0.0851, -0.0481])
tensor([ 0.0843, -0.0581])
tensor([ 0.0793, -0.0340])
tensor([ 0.0763, -0.0387])
tensor([ 0.0696, -0.0477])
tensor([ 0.0677, -0.0418])
tensor([ 0.0724, -0.0463])
tensor([ 0.0802, -0.0523])
tensor([ 0.0740, -0.0401])
tensor([ 0.0647, -0.0450])
tensor([ 0.0641, -0.0509])
tensor([ 0.0647, -0.0347])
tensor([ 0.0641, -0.0475])
tensor([ 0.0726, -0.0389])
tensor([ 0.0739, -0.0294])
tensor([ 0.0675, -0.0351])
tensor([ 0.0601, -0.0359])
tensor([ 0.0655, -0.0313])
tensor([ 0.0567, -0.0523])
tensor([ 0.0645, -0.0333])
tensor([ 0.0811, -0.0363])
tensor([ 0.0644, -0.0298])
tensor([ 0.0696, -0.0405])
tensor([ 0.0601, -0.0205])
tensor([ 0.0592, -0.0195])
tensor([ 0.0529, -0.0390])
tensor([ 0.0603, -0.0231])
tensor([ 0.0619, -0.0234])
tensor([ 0.0726, -0.0156])
tensor([ 0.0597, -0.0240])
tensor([ 0.0644, -0.0136])
tensor([ 0.0504, -0.0161])
tensor([ 0.0496, -0.0237])
tensor([ 0.0517, -0.0256])
tensor([ 0.0499, -0.0271])
tensor([ 0.0503, -0.0285])
tensor([ 0.0686, -0.0218])
tensor([ 0.0508, -0.0379])
tensor([ 0.0614, -0.0225])
tensor([ 0.0669, -0.0347])
tensor([ 0.0540, -0.0110])
tensor([ 0.0590, -0.0309])
tensor([ 0.0575, -0.0217])
tensor([ 0.0494, -0.0246])
tensor([ 0.0474, -0.0359])
tensor([ 0.0518, -0.0243])
tensor([ 0.0579, -0.0284])
tensor([ 0.0513, -0.0131])
tensor([ 0.0614, -0.0236])
tensor([ 0.0574, -0.0362])
tensor([ 0.0481, -0.0168])
tensor([ 0.0583, -0.0265])
tensor([ 0.0571, -0.0267])
tensor([ 0.0401, -0.0340])
tensor([ 0.0583, -0.0414])
tensor([ 0.0407, -0.0413])
tensor([ 0.0410, -0.0468])
tensor([ 0.0562, -0.0353])
tensor([ 0.0606, -0.0342])
tensor([ 0.0537, -0.0500])
tensor([ 0.0525, -0.0392])
tensor([ 0.0627, -0.0584])
tensor([ 0.0532, -0.0351])
tensor([ 0.0552, -0.0497])
tensor([ 0.0533, -0.0407])
tensor([ 0.0544, -0.0511])
tensor([ 0.0528, -0.0290])
tensor([ 0.0622, -0.0334])
tensor([ 0.0641, -0.0439])
tensor([ 0.0735, -0.0266])
tensor([ 0.0687, -0.0472])
tensor([ 0.0561, -0.0470])
tensor([ 0.0614, -0.0547])
tensor([ 0.0601, -0.0587])
tensor([ 0.0614, -0.0584])
tensor([ 0.0729, -0.0468])
tensor([ 0.1851, -0.0316])
tensor([ 0.2835, -0.0172])
tensor([ 0.2655, -0.0312])
tensor([ 0.1164, -0.0179])
tensor([ 0.1282, -0.0300])
tensor([ 0.1250, -0.0444])
tensor([ 0.1184, -0.0279])
tensor([ 0.1123, -0.0408])
tensor([ 0.1066, -0.0345])
tensor([ 0.1269, -0.0380])
tensor([ 0.1346, -0.0426])
tensor([ 0.1143, -0.0232])
tensor([ 0.1184, -0.0310])
tensor([ 0.1167, -0.0154])
tensor([ 0.1165, -0.0278])
tensor([ 0.1060, -0.0446])
tensor([ 0.1151, -0.0322])
tensor([ 0.1165, -0.0231])
tensor([ 0.1040, -0.0350])
tensor([ 0.1142, -0.0224])
tensor([ 0.1156, -0.0228])
tensor([ 0.1167, -0.0231])
tensor([ 0.0947, -0.0250])
tensor([ 0.1059, -0.0232])
tensor([ 0.1133, -0.0422])
tensor([ 0.1185, -0.0373])
tensor([ 0.1160, -0.0260])
tensor([ 0.1141, -0.0374])
tensor([ 0.1099, -0.0430])
tensor([ 0.1087, -0.0281])
tensor([ 0.1008, -0.0901])
tensor([ 0.0993, -0.0778])
tensor([ 0.1179, -0.0906])
tensor([ 0.1177, -0.0857])
tensor([ 0.1048, -0.0786])
tensor([ 0.1041, -0.1014])
tensor([ 0.1229, -0.0804])
tensor([ 0.1063, -0.0863])
tensor([ 0.1134, -0.1043])
tensor([ 0.1127, -0.0932])
tensor([ 0.1151, -0.1052])
tensor([ 0.1101, -0.0786])
tensor([ 0.1215, -0.0816])
tensor([ 0.1043, -0.0742])
tensor([ 0.1173, -0.0885])
tensor([ 0.1102, -0.0832])
tensor([ 0.1071, -0.0781])
tensor([ 0.1057, -0.0888])
tensor([ 0.1190, -0.0916])
tensor([ 0.1083, -0.0650])
tensor([ 0.1166, -0.0850])
tensor([ 0.1027, -0.1025])
tensor([ 0.1036, -0.0986])
tensor([ 0.0987, -0.0959])
tensor([ 0.1117, -0.0897])
tensor([ 0.1186, -0.0776])
tensor([ 0.1092, -0.0884])
tensor([ 0.1195, -0.0829])
tensor([ 0.1002, -0.0671])
tensor([ 0.1178, -0.0947])
tensor([ 0.1140, -0.0848])
tensor([ 0.1085, -0.0849])
tensor([ 0.1206, -0.0827])
tensor([ 0.1061, -0.0774])
tensor([ 0.1198, -0.0818])
tensor([ 0.1149, -0.0813])
tensor([ 0.1087, -0.0780])
tensor([ 0.1210, -0.0849])
tensor([ 0.1061, -0.0891])
tensor([ 0.1061, -0.0819])
tensor([ 0.1089, -0.0623])
tensor([ 0.1195, -0.0810])
tensor([ 0.1057, -0.0696])
tensor([ 0.1066, -0.0923])
tensor([ 0.1192, -0.0727])
tensor([ 0.1173, -0.0642])
tensor([ 0.1166, -0.0831])
tensor([ 0.1179, -0.0631])
tensor([ 0.1149, -0.0701])
tensor([ 0.1046, -0.0735])
tensor([ 0.1280, -0.0721])
tensor([ 0.1068, -0.0509])
tensor([ 0.1219, -0.0586])
tensor([ 0.0998, -0.0637])
tensor([ 0.1119, -0.0527])
tensor([ 0.1107, -0.0543])
tensor([ 0.1091, -0.0478])
tensor([ 0.1150, -0.0417])
tensor([ 0.1062, -0.0633])
tensor([ 0.1099, -0.0539])
tensor([ 0.1088, -0.0565])
tensor([ 0.1160, -0.0560])
tensor([ 0.1104, -0.0567])
tensor([ 0.1046, -0.0512])
tensor([ 0.1033, -0.0382])
tensor([ 0.1186, -0.0497])
tensor([ 0.1202, -0.0571])
tensor([ 0.1277, -0.0629])
tensor([ 0.1240, -0.0712])
tensor([ 0.1300, -0.0510])
tensor([ 0.1321, -0.0803])
tensor([ 0.1119, -0.0468])
tensor([ 0.1275, -0.0472])
tensor([ 0.1163, -0.0440])
tensor([ 0.1288, -0.0570])
tensor([ 0.1232, -0.0618])
tensor([ 0.1221, -0.0485])
tensor([ 0.1234, -0.0465])
tensor([ 0.1146, -0.0416])
tensor([ 0.1252, -0.0457])
tensor([ 0.1356, -0.0367])
tensor([ 0.1183, -0.0498])
tensor([ 0.1312, -0.0297])
tensor([ 0.1181, -0.0386])
tensor([ 0.1269, -0.0476])
tensor([ 0.1186, -0.0552])
tensor([ 0.1242, -0.0429])
tensor([ 0.1261, -0.0272])
tensor([ 0.1385, -0.0439])
tensor([ 0.1233, -0.0503])
tensor([ 0.1208, -0.0580])
tensor([ 0.1348, -0.0506])
tensor([ 0.1436, -0.0441])
tensor([ 0.1344, -0.0378])
tensor([ 0.1358, -0.0385])
tensor([ 0.1340, -0.0566])
tensor([ 0.1400, -0.0616])
tensor([ 0.1376, -0.0512])
tensor([ 0.1511, -0.0492])
tensor([ 0.1386, -0.0513])
tensor([ 0.1499, -0.0510])
tensor([ 0.1367, -0.0551])
tensor([ 0.1439, -0.0424])
tensor([ 0.1424, -0.0597])
tensor([ 0.1633, -0.0638])
tensor([ 0.1382, -0.0669])
tensor([ 0.1432, -0.0441])
tensor([ 0.1432, -0.0481])
tensor([ 0.1474, -0.0522])
tensor([ 0.1358, -0.0555])
